Mugil sp. C;Ba Bo, Can Tho;10.019457; 105.781728
Mugil sp. C;Ba Bo, Can Tho;10.019457; 105.781728
Mugil sp. C;Tan An, Can Tho;10.028056; 105.786944
Mugil sp. C;Tan An, Can Tho;10.028056; 105.786944
Mugil sp. C;Tan An, Can Tho;10.028056; 105.786944
Mugil sp. C;Tan An, Can Tho;10.028056; 105.786944
Mugil sp. C;Tan An, Can Tho;10.028056; 105.786944
Mugil sp. C;Cai Khe, Can Tho;10.047648; 105.787986
Mugil sp. C;Cai Khe, Can Tho;10.047648; 105.787986
Mugil sp. C;Cai Khe, Can Tho;10.047648; 105.787986
Mugil sp. C;Cai Cui, Can Tho;10.054263; 105.808215
Mugil sp. C;Cai Cui, Can Tho;10.054263; 105.808215
Mugil sp. C;Hon Dat, Kien Giang, Vietnam;10.230000; 104.934722
Mugil sp. C;Hon Dat, Kien Giang, Vietnam;10.230000; 104.934722
Mugil sp. C;Long Phuoc, Ho Chi Minh City, Vietnam;10.825497; 106.856639
Mugil sp. C;Long Phuoc, Ho Chi Minh City, Vietnam;10.825497; 106.856639
Mugil sp. C;Hue, Vietnam;16.451808;107.562933
Mugil sp. C;South China Sea;17.310000; 113.280000
Mugil sp. C;Ham Ninh, Quang Binh, Vietnam;17.384722; 106.591111
Mugil sp. C;Ham Ninh, Quang Binh, Vietnam;17.384722; 106.591111
Mugil sp. C;Ham Ninh, Quang Binh, Vietnam;17.384722; 106.591111
Mugil sp. C;Ham Ninh, Quang Binh, Vietnam;17.384722; 106.591111
Mugil sp. C;Dong Hoi, Quang Binh, Vietnam;17.460616; 106.617532
Mugil sp. C;Qionghai, South China Sea, China;19.150006; 110.581464
Mugil sp. C;Quat Lam, Nam Dinh, Vietnam;20.194759; 106.385484
Mugil sp. C;Giao tien, Nam Dinh, Vietnam;20.202055; 106.530487
Mugil sp. C;Van Uc, Hai Phong, Vietnam;20.698828; 106.788301
Mugil sp. C;Van Uc, Hai Phong, Vietnam;20.698828; 106.788301
Mugil sp. C;Van Uc, Hai Phong, Vietnam;20.698828; 106.788301
Mugil sp. C;Quang Yen, Quang Ninh, Vietnam;20.938144; 106.827694
Mugil sp. C;Hao Nam, Ha Noi, Vietnam;21.024496; 105.826964
Mugil sp. C;Hao Nam, Ha Noi, Vietnam;21.024496; 105.826964
Mugil sp. C;Hao Nam, Ha Noi, Vietnam;21.024496; 105.826964
Mugil sp. C;Hao Nam, Ha Noi, Vietnam;21.024496; 105.826964
Mugil sp. C;Hao Nam, Ha Noi, Vietnam;21.024496; 105.826964
Mugil sp. C;Hao Nam, Ha Noi, Vietnam;21.024496; 105.826964
Mugil sp. C;Ba mun, Quang Ninh, Vietnam;21.039268; 107.593649
Mugil sp. C;Ba mun, Quang Ninh, Vietnam;21.039268; 107.593649
Mugil sp. C;Ba mun, Quang Ninh, Vietnam;21.039268; 107.593649
Mugil sp. C;Ba mun, Quang Ninh, Vietnam;21.039268; 107.593649
Mugil sp. C;Ba mun, Quang Ninh, Vietnam;21.039268; 107.593649
Mugil sp. C;Ba mun, Quang Ninh, Vietnam;21.039268; 107.593649
Mugil sp. C;Ba mun, Quang Ninh, Vietnam;21.039268; 107.593649
Mugil sp. C;South China Sea;21.330000; 111.980000
Mugil sp. C;South China Sea;21.330000; 111.980000
Mugil sp. C;South China Sea;21.330000; 111.980000
Mugil sp. C;South China Sea;21.330000; 111.980000
Mugil sp. C;Kaoping Estuary, Taiwan;22.466667; 120.416667
Mugil sp. C;Kaoping estuary, Taiwan;22.466667; 120.416667
Mugil sp. C;Kaohsiung, Taiwan;22.616667; 119.500000
Mugil sp. C;Kaohsiung, Taiwan;22.616667; 119.500000
Mugil sp. C;Kaohsiung, Taiwan;22.616667; 119.500000
Mugil sp. C;Kaohsiung, Taiwan;22.616667; 119.500000
Mugil sp. C;Kaohsiung, Taiwan;22.616667; 119.500000
Mugil sp. C;Kaohsiung, Taiwan;22.616667; 119.500000
Mugil sp. C;Kaohsiung, Taiwan;22.616667; 119.500000
Mugil sp. C;Kaohsiung, Taiwan;22.616667; 119.500000
Mugil sp. C;Kaohsiung, Taiwan;22.616667; 119.500000
Mugil sp. C;Keliau, Kaohsiung, Taiwan;22.859100; 120.188585
Mugil sp. C;Yungan, Kaohsiung, Taiwan;22.904934; 120.169165
Mugil sp. C;Yungan, Kaohsiung, Taiwan;22.904934; 120.169165
Mugil sp. C;Shantou, China;23.344177; 116.705009
Mugil sp. C;Shantou, China;23.344177; 116.705009
Mugil sp. C;Shantou, China;23.344177; 116.705009
Mugil sp. C;Shantou, China;23.344177; 116.705009
Mugil sp. C;Taiwan;23.390000; 120.150000
Mugil sp. C;South China Sea;23.450000; 117.380000
Mugil sp. C;South China Sea;23.450000; 117.380000
Mugil sp. C;Hualian, Taiwan;23.974879; 121.620863
Mugil sp. C;Da-an, Taichung, Taiwan;24.367760; 120.578244
Mugil sp. C;Da-an, Taichung, Taiwan;24.367760; 120.578244
Mugil sp. C;Da-an, Taichung, Taiwan;24.367760; 120.578244
Mugil sp. C;Da-an, Taichung, Taiwan;24.367760; 120.578244
Mugil sp. C;Da-an, Taichung, Taiwan;24.367760; 120.578244
Mugil sp. C;Da-an, Taichung, Taiwan;24.367760; 120.578244
Mugil sp. C;Da-an, Taichung, Taiwan;24.367760; 120.578244
Mugil sp. C;Hsinchu, Taiwan;24.812189; 120.961848
Mugil sp. C;Hsinchu, Taiwan;24.812189; 120.961848
Mugil sp. C;Hsinchu, Taiwan;24.812189; 120.961848
Mugil sp. C;Tachi, Yilan, Taiwan;24.841430; 121.828353
Mugil sp. C;Tachi, Yilan, Taiwan;24.841430; 121.828353
Mugil sp. C;Tachi, Yilan, Taiwan;24.841430; 121.828353
Mugil sp. C;Tachi, Yilan, Taiwan;24.841430; 121.828353
Mugil sp. C;Danshuei, Taipei, Taiwan;25.162088; 121.434401
Mugil sp. C;Danshuei, Taipei, Taiwan;25.162088; 121.434401
Mugil sp. C;Danshuei, Taipei, Taiwan;25.162088; 121.434401
Mugil sp. C;Danshuei, Taipei, Taiwan;25.162088; 121.434401
Mugil sp. C;Danshuei, Taipei, Taiwan;25.162088; 121.434401
Mugil sp. C;Danshuei, Taipei, Taiwan;25.162088; 121.434401
Mugil sp. C;Danshuei, Taipei, Taiwan;25.162088; 121.434401
Mugil sp. C;Danshuei, Taipei, Taiwan;25.162088; 121.434401
Mugil sp. C;Keelung, Taiwan;25.183333; 121.783333
